marital_status,is_displaced,gender,age,is_international,mothers_qualif,fathers_qualif,is_spec_needs,is_debtor,is_tuition_uptodate,is_scholarship,unempl_rate,infl_rate,gdp,application_order,course,is_daytime,prev_qualif,prev_qualif_grade,admission_grade,courses_credited,courses_enrolled,courses_evaluated,courses_approved,courses_avg_grade,courses_unevaluated,Target
married,0,0,44,0,1,3,0,0,1,0,12.7,3.7,-1.7,1,Social Service (evening attendance),0,4,133.1,114,2,8,11,8,11.875,0,Graduate
single,1,0,18,0,1,4,0,0,1,0,8.9,1.4,3.51,5,Journalism and Communication,1,4,135,124.9,0,6,6,6,13.666666666666666,0,Graduate
single,1,0,18,0,1,1,0,0,1,1,12.4,0.5,1.79,5,Nursing,1,4,132,120.3,0,7,7,7,13.75,0,Graduate
single,1,0,19,0,5,5,0,1,0,0,13.9,-0.3,0.79,4,Nursing,1,4,115,111.5,0,7,10,4,11.96,0,Dropout
single,0,0,21,0,2,2,0,0,1,0,8.9,1.4,3.51,1,Veterinary Nursing,1,4,130,128.8,7,10,12,8,12.875,0,Dropout
single,1,0,20,0,4,4,0,0,1,0,16.2,0.3,-0.92,4,Animation and Multimedia Design,1,4,133.1,110,0,0,0,0,0,0,Graduate
married,1,0,36,0,1,1,0,0,1,0,9.4,-0.8,-3.12,1,Social Service (evening attendance),0,4,130,113.5,0,6,0,0,0,0,Dropout
divorced,0,0,43,0,1,1,0,0,1,0,15.5,2.8,-4.06,1,Agronomy,1,3,133.1,160,13,18,19,18,14.63157894736842,0,Graduate
single,1,0,19,0,3,3,0,0,1,0,11.1,0.6,2.02,1,Basic Education,1,4,123,117.4,0,6,0,0,0,0,Dropout
single,0,0,20,0,5,4,0,1,1,0,11.1,0.6,2.02,1,Communication Design,1,4,130,122.2,4,10,12,10,13,0,Graduate
single,1,0,19,0,1,2,0,0,1,0,16.2,0.3,-0.92,2,Social Service,1,4,122,118.2,0,6,0,0,0,0,Dropout
single,1,0,20,0,4,4,0,0,1,0,15.5,2.8,-4.06,1,Veterinary Nursing,1,4,113,106.7,0,6,15,4,14.2,0,Dropout
single,1,0,20,0,5,6,0,0,1,0,12.4,0.5,1.79,5,Nursing,1,4,111,108.2,2,7,9,6,13.266666666666666,0,Dropout
single,1,0,18,0,1,1,0,0,1,0,13.9,-0.3,0.79,1,Social Service,1,4,142,136.1,0,6,8,6,13.857142857142858,0,Graduate
single,1,0,19,0,3,3,0,0,1,0,10.8,1.4,1.74,1,Veterinary Nursing,1,4,131,139.8,0,5,6,5,13.4,0,Graduate
single,1,0,18,0,4,2,0,0,1,0,10.8,1.4,1.74,3,Journalism and Communication,1,4,158,157,0,6,6,6,12.666666666666666,0,Graduate
single,1,0,18,0,1,1,0,0,1,0,7.6,2.6,0.32,2,Nursing,1,4,122,131,0,7,7,6,12.516666666666666,1,Dropout
single,0,0,18,0,1,2,0,0,1,0,9.4,-0.8,-3.12,2,Veterinary Nursing,1,4,140,137,0,5,12,5,13.142857142857142,2,Graduate
single,0,0,18,0,5,3,0,0,1,0,11.1,0.6,2.02,1,Management,1,4,127,121.8,0,5,5,5,12.6,0,Graduate
single,1,0,21,0,4,4,0,0,1,0,9.4,-0.8,-3.12,1,Tourism,1,4,133.1,131,0,6,12,3,11,0,Dropout
single,1,0,19,0,3,3,0,0,1,0,16.2,0.3,-0.92,2,Management,1,4,120,118.6,0,5,8,5,10.8,0,Graduate
single,0,0,19,0,5,3,0,0,1,0,10.8,1.4,1.74,1,Animation and Multimedia Design,1,4,137,122.3,0,0,0,0,0,0,Dropout
single,0,0,19,0,2,2,0,0,1,1,9.4,-0.8,-3.12,1,Advertising and Marketing Management,1,4,131,127.9,0,5,5,5,12.8,0,Graduate
single,1,0,19,0,3,2,0,0,1,0,15.5,2.8,-4.06,1,Veterinary Nursing,1,4,130,121.3,0,6,15,6,14.166666666666666,0,Graduate
single,1,0,19,0,4,4,0,0,1,0,13.9,-0.3,0.79,6,Oral Hygiene,1,4,122,117.1,0,7,12,5,12.1,0,Dropout
single,1,0,20,0,1,1,0,0,1,0,12.4,0.5,1.79,1,Veterinary Nursing,1,4,160,160,1,6,7,6,14.166666666666666,0,Graduate
single,1,0,18,0,4,4,0,0,1,0,12.4,0.5,1.79,3,Social Service,1,4,131,122.6,0,6,7,6,13,0,Graduate
single,1,0,19,0,4,1,0,0,1,0,12.4,0.5,1.79,6,Nursing,1,4,132,128,0,7,7,7,13.467142857142855,0,Graduate
single,1,0,18,0,3,3,0,0,1,1,13.9,-0.3,0.79,3,Nursing,1,4,138,124.9,0,7,9,7,13.2375,0,Dropout
single,1,0,18,0,1,1,0,0,1,0,7.6,2.6,0.32,2,Communication Design,1,4,130,123.7,0,6,6,6,12.333333333333334,0,Graduate
single,1,0,19,0,4,3,0,0,1,0,8.9,1.4,3.51,4,Management,1,4,126,120.1,0,5,7,5,12.4,0,Graduate
single,1,0,19,0,4,3,0,0,1,0,13.9,-0.3,0.79,6,Nursing,1,4,148,131.7,0,7,8,5,14,0,Dropout
single,0,0,20,0,2,1,0,0,1,0,7.6,2.6,0.32,1,Social Service,1,4,130,133.2,5,9,15,9,11.666666666666666,0,Graduate
single,0,0,19,0,4,2,0,1,0,1,12.4,0.5,1.79,1,Advertising and Marketing Management,1,4,117,109.3,0,6,7,5,12,0,Dropout
single,1,0,20,0,3,3,0,0,1,0,7.6,2.6,0.32,1,Advertising and Marketing Management,1,4,120,113,0,5,7,4,12.2,0,Graduate
single,0,0,18,0,4,4,0,1,1,1,8.9,1.4,3.51,1,Journalism and Communication,1,4,153,157.9,0,6,6,6,14.833333333333334,0,Graduate
single,0,0,18,0,3,4,0,0,1,0,13.9,-0.3,0.79,1,Nursing,1,4,178,174.7,0,7,8,7,17.125,0,Graduate
single,1,0,19,0,1,1,0,0,1,0,7.6,2.6,0.32,5,Nursing,1,4,129,128.8,0,7,7,6,12.666666666666666,0,Graduate
single,1,0,19,0,3,4,0,0,1,1,12.4,0.5,1.79,6,Journalism and Communication,1,4,116,110.1,0,6,8,6,12.666666666666666,0,Graduate
single,1,0,19,0,4,3,0,0,1,1,12.4,0.5,1.79,3,Social Service,1,4,135,121,0,6,7,6,11.333333333333334,0,Graduate
single,1,0,19,0,3,3,0,0,1,1,15.5,2.8,-4.06,3,Nursing,1,4,141,131.7,0,7,10,7,13.605,0,Graduate
single,1,0,19,0,1,2,0,0,1,1,9.4,-0.8,-3.12,5,Basic Education,1,4,132,119.1,0,6,10,5,12,0,Graduate
single,1,0,19,0,3,3,0,0,1,0,7.6,2.6,0.32,4,Tourism,1,4,132,124.7,0,5,10,0,0,0,Dropout
single,1,0,20,0,4,1,0,0,1,0,7.6,2.6,0.32,1,Tourism,1,4,113,117.2,0,6,8,5,11.2,0,Dropout
single,0,0,18,0,5,3,0,0,1,0,13.9,-0.3,0.79,1,Management,1,4,134,128.8,0,5,10,5,13.375,0,Graduate
single,0,0,20,0,4,3,0,0,1,1,11.1,0.6,2.02,1,Nursing,1,4,136,131.5,0,7,8,6,13.863333333333337,0,Graduate
single,0,0,19,0,4,2,0,0,1,0,7.6,2.6,0.32,1,Veterinary Nursing,1,4,129,123.4,0,5,6,5,12.4,0,Graduate
single,1,0,18,0,1,1,0,0,1,0,7.6,2.6,0.32,1,Basic Education,1,4,137,132.8,0,6,7,6,13.333333333333334,0,Graduate
single,1,0,21,0,5,1,0,0,1,0,9.4,-0.8,-3.12,1,Basic Education,1,4,115,108.7,0,6,10,3,12.666666666666666,0,Dropout
single,0,0,19,0,2,1,0,0,1,0,7.6,2.6,0.32,1,Basic Education,1,4,129,138.1,0,6,8,6,12,0,Dropout
single,0,0,18,0,2,2,0,0,1,1,12.4,0.5,1.79,1,Management,1,4,131,126.5,0,5,5,5,10.6,0,Graduate
single,1,0,18,0,4,1,0,0,1,1,12.7,3.7,-1.7,2,Social Service,1,4,133,127.4,0,6,8,6,12.25,0,Graduate
single,1,0,20,0,3,4,0,0,1,0,9.4,-0.8,-3.12,3,Social Service,1,4,125,123.6,0,6,10,4,11,0,Graduate
single,0,0,24,0,4,3,0,0,1,1,11.1,0.6,2.02,1,Social Service (evening attendance),0,4,120,122,0,6,11,5,11,0,Graduate
single,0,0,19,0,3,4,0,0,1,0,10.8,1.4,1.74,1,Advertising and Marketing Management,1,4,128,118.2,0,6,6,6,13.166666666666666,0,Dropout
single,1,0,18,0,3,1,0,0,1,1,15.5,2.8,-4.06,1,Nursing,1,4,127,123.9,0,7,9,7,12.855555555555554,0,Graduate
single,1,0,18,0,3,3,0,0,1,0,15.5,2.8,-4.06,2,Nursing,1,4,134,125.8,0,7,8,7,14.91875,0,Graduate
single,1,0,21,0,3,3,0,0,1,0,10.8,1.4,1.74,5,Basic Education,1,4,132,123.3,0,6,13,4,11.5,0,Dropout
single,0,0,19,0,4,3,0,0,1,0,7.6,2.6,0.32,2,Advertising and Marketing Management,1,4,124,124.4,0,5,5,5,14.2,0,Graduate
single,0,0,19,0,3,1,0,0,1,1,15.5,2.8,-4.06,1,Journalism and Communication,1,4,133.1,126,0,6,6,6,12.5,0,Graduate
single,0,0,19,0,3,3,0,0,1,0,13.9,-0.3,0.79,3,Social Service,1,4,125,121.5,0,6,10,5,11.666666666666666,0,Graduate
single,0,0,29,0,5,5,0,0,1,0,12.7,3.7,-1.7,1,Nursing,1,5,130,130,1,8,8,7,14.257142857142856,0,Graduate
single,1,0,21,0,3,3,0,0,1,0,16.2,0.3,-0.92,1,Social Service,1,4,125,117,0,6,13,3,12,0,Dropout
single,0,0,20,0,1,1,0,0,1,0,15.5,2.8,-4.06,2,Oral Hygiene,1,4,133.1,108,0,7,8,7,12.457142857142856,0,Graduate
single,1,0,19,0,5,2,0,0,1,0,7.6,2.6,0.32,1,Nursing,1,4,131,132.3,0,7,7,6,11.683333333333332,0,Graduate
single,0,0,26,0,3,5,0,0,1,0,9.4,-0.8,-3.12,1,Social Service (evening attendance),0,4,150,148,0,6,10,3,11.666666666666666,0,Graduate
single,1,0,20,0,1,1,0,1,0,0,11.1,0.6,2.02,2,Tourism,1,4,125,122.6,0,6,8,4,11.75,0,Dropout
single,0,0,27,0,1,3,0,0,1,0,7.6,2.6,0.32,1,Basic Education,1,4,130,102.5,0,6,9,5,13.2,0,Graduate
single,1,0,20,0,-1,-1,0,0,1,0,7.6,2.6,0.32,2,Nursing,1,4,123,113.3,0,7,8,4,11.95,0,Dropout
single,1,0,18,0,1,3,0,0,1,0,9.4,-0.8,-3.12,5,Basic Education,1,4,141,133,0,6,8,5,12.4,0,Dropout
single,0,0,33,0,4,4,0,0,1,0,16.2,0.3,-0.92,1,Nursing,1,5,140,140,2,7,8,6,14.35,0,Dropout
single,1,0,35,0,5,4,0,0,1,0,12.4,0.5,1.79,1,Basic Education,1,4,140,128.3,19,21,21,21,12.61904761904762,0,Graduate
single,0,0,27,0,3,3,0,1,0,0,11.1,0.6,2.02,1,Journalism and Communication,1,3,133.1,104,0,6,6,5,12,0,Dropout
single,1,0,19,0,4,1,0,0,0,0,15.5,2.8,-4.06,3,Communication Design,1,4,131,122.3,0,6,6,6,12.166666666666666,0,Dropout
single,0,0,20,0,4,3,0,0,1,0,11.1,0.6,2.02,2,Tourism,1,4,143,135,0,6,0,0,0,0,Dropout
single,1,0,20,0,5,5,0,1,0,0,10.8,1.4,1.74,2,Management,1,4,132,119.1,0,5,9,3,10,0,Dropout
single,1,0,18,0,2,4,0,0,1,1,7.6,2.6,0.32,3,Nursing,1,4,141,129,0,7,7,6,13.05,0,Graduate
single,1,0,24,0,4,3,0,0,1,0,8.9,1.4,3.51,1,Veterinary Nursing,1,4,133.1,162.3,0,6,10,2,11,0,Dropout
single,1,0,20,0,4,5,0,0,1,0,16.2,0.3,-0.92,4,Communication Design,1,4,148,163.4,0,6,7,6,11.5,0,Graduate
single,0,0,21,0,3,2,0,0,1,1,13.9,-0.3,0.79,1,Tourism,1,4,125,121.5,0,6,7,6,12,0,Graduate
single,1,0,24,0,3,5,0,0,1,0,7.6,2.6,0.32,1,Management,1,4,140,118,0,5,5,0,0,0,Dropout
single,0,0,21,0,4,4,0,0,1,0,12.4,0.5,1.79,1,Basic Education,1,4,139,134,0,6,0,0,0,0,Dropout
single,1,0,18,0,2,2,0,0,1,0,12.7,3.7,-1.7,4,Nursing,1,4,142,129.8,0,8,8,7,12.242857142857144,0,Graduate
single,1,0,27,0,3,4,0,0,1,0,8.9,1.4,3.51,1,Management (evening attendance),0,5,130,152,0,5,0,0,0,0,Dropout
single,1,0,18,0,1,1,0,0,1,0,9.4,-0.8,-3.12,6,Nursing,1,4,126,122.8,0,8,8,8,12.93375,0,Graduate
single,0,0,35,0,5,5,0,0,1,0,13.9,-0.3,0.79,1,Informatics Engineering,1,5,150,150,0,5,0,0,0,0,Dropout
single,0,0,18,0,3,3,0,0,1,0,11.1,0.6,2.02,1,Basic Education,1,4,130,131.8,0,7,9,7,12.571428571428571,0,Graduate
single,1,0,19,0,4,4,0,0,1,0,10.8,1.4,1.74,1,Veterinary Nursing,1,4,138,132.1,0,5,9,4,13.75,0,Graduate
single,1,0,20,0,3,3,0,0,1,0,7.6,2.6,0.32,4,Social Service,1,4,127,127.4,0,6,8,6,11.166666666666666,0,Graduate
single,1,0,18,0,3,3,0,0,1,0,10.8,1.4,1.74,4,Nursing,1,4,140,129.5,0,8,8,7,12.324285714285711,0,Graduate
single,0,0,21,0,2,2,0,1,1,0,13.9,-0.3,0.79,1,Social Service,1,4,130,126.7,3,6,6,6,12.166666666666666,0,Graduate
single,0,0,18,0,3,1,0,0,1,1,16.2,0.3,-0.92,2,Social Service,1,4,128,116.5,0,6,11,5,11.142857142857142,0,Graduate
single,1,0,18,0,-1,-1,0,0,1,0,7.6,2.6,0.32,1,Social Service,1,4,132,119.1,0,6,9,4,11,0,Graduate
single,1,0,18,0,3,2,0,0,1,0,12.7,3.7,-1.7,2,Nursing,1,4,149,126.5,0,8,8,7,12.914285714285713,0,Graduate
single,1,0,18,0,5,3,0,0,1,1,16.2,0.3,-0.92,4,Journalism and Communication,1,4,155,149.8,0,6,6,6,13.833333333333334,0,Graduate
single,1,0,19,0,3,4,0,0,1,0,13.9,-0.3,0.79,1,Veterinary Nursing,1,4,120,115.1,0,6,8,6,13.857142857142858,0,Graduate
single,0,0,36,0,5,3,0,0,1,1,16.2,0.3,-0.92,1,Tourism,1,3,133.1,124.5,0,6,7,6,13.714285714285714,0,Dropout
single,1,0,18,0,2,4,0,0,1,1,12.7,3.7,-1.7,2,Nursing,1,4,131,128.3,0,8,8,7,12.642857142857142,0,Graduate
single,0,0,18,0,1,1,0,0,1,1,7.6,2.6,0.32,1,Nursing,1,4,149,136,0,7,7,6,12.916666666666666,0,Graduate
single,1,0,20,0,4,5,0,0,1,1,13.9,-0.3,0.79,1,Equinculture,1,4,140,140,0,6,8,6,15.625,0,Graduate
single,0,0,26,0,1,1,0,0,1,1,16.2,0.3,-0.92,1,Management (evening attendance),0,4,133.1,126.3,0,5,7,0,0,0,Dropout
single,0,0,21,0,4,4,0,0,1,0,7.6,2.6,0.32,1,Journalism and Communication,1,4,122,126.9,0,6,8,6,11.714285714285714,0,Graduate
single,1,0,19,0,3,5,0,0,1,1,12.4,0.5,1.79,1,Management,1,4,121,115.8,0,5,7,5,11.6,0,Graduate
single,1,0,24,0,3,1,0,0,1,0,9.4,-0.8,-3.12,1,Social Service (evening attendance),0,4,120,100,0,6,11,1,10,0,Dropout
single,0,0,27,0,4,3,0,0,1,1,8.9,1.4,3.51,1,Social Service (evening attendance),0,4,133.1,102.5,0,6,16,1,10,0,Dropout
single,0,0,21,0,3,1,0,0,1,0,7.6,2.6,0.32,1,Veterinary Nursing,1,4,121,131.5,0,5,10,0,0,1,Dropout
single,0,0,18,0,2,2,0,0,1,1,9.4,-0.8,-3.12,1,Management,1,4,133,147,0,5,7,4,13,0,Graduate
married,0,0,19,0,1,1,1,0,1,1,10.8,1.4,1.74,4,Basic Education,1,4,134,122.5,0,6,6,6,13.333333333333334,0,Graduate
single,1,0,18,0,4,4,0,0,1,0,9.4,-0.8,-3.12,3,Tourism,1,4,115,117.5,0,6,9,4,11.25,0,Dropout
single,0,0,19,0,3,4,0,0,1,1,11.1,0.6,2.02,1,Nursing,1,4,127,150,0,7,9,5,13.85,0,Graduate
single,1,0,19,0,4,2,0,0,1,1,16.2,0.3,-0.92,1,Nursing,1,4,135,127.5,0,7,8,6,13.741666666666667,0,Graduate
married,0,0,33,0,5,7,0,0,1,0,11.1,0.6,2.02,1,Management (evening attendance),0,6,140,140,2,6,7,6,15.333333333333334,0,Graduate
